"","CVE_SUN","s","n","t","d","lq","NOM_SUN","Nivel"
"1",37,68,1.98,2631,0.74,2.68,"Cancún","Alto"
"2",1,102,2.97,4312,1.21,2.45,"Aguascalientes","Alto"
"3",22,36,1.05,1624,0.46,2.3,"Puerto Vallarta","Alto"
"4",12,110,3.2,5537,1.55,2.06,"Chihuahua","Alto"
"5",14,145,4.22,7660,2.15,1.96,"León","Alto"
"6",55,104,3.03,6185,1.74,1.74,"Mérida","Alto"
"7",15,14,0.41,862,0.24,1.68,"San Francisco R","Alto"
"8",38,79,2.3,4963,1.39,1.65,"SLP","Alto"
"9",36,81,2.36,5156,1.45,1.63,"Querétaro","Alto"
"10",57,51,1.48,3307,0.93,1.6,"Celaya","Alto"
"11",56,22,0.64,1464,0.41,1.56,"Zacatecas-Gpe","Alto"
"12",40,20,0.58,1395,0.39,1.49,"Guaymas","Alto"
"13",23,12,0.35,870,0.24,1.43,"Ocotlán","Alto"
"14",5,57,1.66,4223,1.19,1.4,"Saltillo","Alto"
"15",21,326,9.49,24438,6.86,1.38,"Guadalajara","Alto"
"16",30,29,0.84,2191,0.61,1.37,"Tepic","Alto"
"17",7,14,0.41,1069,0.3,1.36,"Piedras Negras","Alto"
"18",41,54,1.57,4201,1.18,1.33,"Villahermosa","Alto"
"19",11,92,2.68,7331,2.06,1.3,"Juárez","Alto"
"20",8,28,0.81,2265,0.64,1.28,"Colima-Villa ","Alto"
"21",2,100,2.91,8751,2.46,1.18,"Tijuana","Alto"
"22",51,27,0.79,2386,0.67,1.17,"Minatitlán","Alto"
"23",16,8,0.23,710,0.2,1.17,"Moroleón-Uriangato","Alto"
"24",18,28,0.81,2586,0.73,1.12,"Pachuca","Alto"
"25",6,22,0.64,2051,0.58,1.11,"Monclova-Frontera","Alto"
"26",10,42,1.22,3936,1.1,1.11,"Tuxtla Gutiérrez","Alto"
"27",9,11,0.32,1033,0.29,1.1,"Tecomán","Alto"
"28",19,13,0.38,1222,0.34,1.1,"Tulancingo","Alto"
"29",31,209,6.08,21495,6.03,1.01,"Monterrey","Alto"
"30",44,25,0.73,2598,0.73,1,"Matamoros","Alto"
"31",27,15,0.44,1559,0.44,1,"La Piedad-P","Alto"
"32",34,142,4.13,14860,4.17,0.99,"Puebla-Tlaxcala","Moderado"
"33",54,7,0.2,756,0.21,0.96,"Acayucan","Moderado"
"34",58,8,0.23,864,0.24,0.96,"Tianguistenco","Moderado"
"35",4,62,1.8,6745,1.89,0.95,"La Laguna","Moderado"
"36",46,23,0.67,2542,0.71,0.94,"Tlaxcala-Apizaco","Moderado"
"37",24,81,2.36,9089,2.55,0.92,"Toluca","Moderado"
"38",32,25,0.73,3034,0.85,0.85,"Oaxaca","Moderado"
"39",35,12,0.35,1458,0.41,0.85,"Tehuacán","Moderado"
"40",20,9,0.26,1124,0.32,0.83,"Tula","Moderado"
"41",39,7,0.2,886,0.25,0.82,"Ríoverde","Moderado"
"42",42,40,1.16,5067,1.42,0.82,"Tampico","Moderado"
"43",13,855,24.88,115767,32.49,0.77,"Valle de México","Moderado"
"44",29,19,0.55,2671,0.75,0.74,"Cuautla","Moderado"
"45",26,10,0.29,1535,0.43,0.68,"Zamora-Jacona","Moderado"
"46",43,23,0.67,3601,1.01,0.66,"Reynosa-Río Bravo","Moderado"
"47",25,24,0.7,4045,1.14,0.62,"Morelia","Moderado"
"48",33,6,0.17,1044,0.29,0.6,"Tehuantepec","Moderado"
"49",52,12,0.35,2145,0.6,0.58,"Coatzacoalcos","Moderado"
"50",49,20,0.58,4064,1.14,0.51,"Poza Rica","Moderado"
"51",48,18,0.52,3972,1.11,0.47,"Xalapa","Moderado"
"52",59,3,0.09,673,0.19,0.46,"Teziutlán","Moderado"
"53",3,24,0.7,5499,1.54,0.45,"Mexicali","Moderado"
"54",53,9,0.26,2321,0.65,0.4,"Córdoba","Moderado"
"55",47,21,0.61,5647,1.58,0.39,"Veracruz","Moderado"
"56",45,7,0.2,2040,0.57,0.36,"Nuevo Laredo","Moderado"
"57",28,16,0.47,5663,1.59,0.29,"Cuernavaca","Moderado"
"58",17,8,0.23,6214,1.74,0.13,"Acapulco","Moderado"
"59",50,2,0.06,2956,0.83,0.07,"Orizaba","Moderado"
