"","mesdef","fecha","casos","nombre","mes"
"1","01","98",2,"Enero ","Enero "
"2","02","98",1,"Febrero","Febrero"
"3","03","98",2,"Marzo","Marzo"
"4","04","98",1,"Abril","Abril"
"5","05","98",2,"Mayo","Mayo"
"6","06","98",5,"Junio","Junio"
"7","07","98",0,"Julio","Julio"
"8","08","98",4,"Agosto","Agosto"
"9","09","98",2,"Septiembre","Septiembre"
"10","10","98",1,"Octubre","Octubre"
"11","11","98",0,"Noviembre","Noviembre"
"12","12","98",0,"Diciembre","Diciembre"
"13","01","99",2,"Enero ","Enero "
"14","02","99",2,"Febrero","Febrero"
"15","03","99",3,"Marzo","Marzo"
"16","04","99",3,"Abril","Abril"
"17","05","99",4,"Mayo","Mayo"
"18","06","99",4,"Junio","Junio"
"19","07","99",4,"Julio","Julio"
"20","08","99",2,"Agosto","Agosto"
"21","09","99",0,"Septiembre","Septiembre"
"22","10","99",3,"Octubre","Octubre"
"23","11","99",3,"Noviembre","Noviembre"
"24","12","99",3,"Diciembre","Diciembre"
"25","01","00",5,"Enero ","Enero "
"26","02","00",4,"Febrero","Febrero"
"27","03","00",3,"Marzo","Marzo"
"28","04","00",0,"Abril","Abril"
"29","05","00",3,"Mayo","Mayo"
"30","06","00",1,"Junio","Junio"
"31","07","00",4,"Julio","Julio"
"32","08","00",1,"Agosto","Agosto"
"33","09","00",4,"Septiembre","Septiembre"
"34","10","00",1,"Octubre","Octubre"
"35","11","00",3,"Noviembre","Noviembre"
"36","12","00",2,"Diciembre","Diciembre"
"37","01","01",4,"Enero ","Enero "
"38","02","01",1,"Febrero","Febrero"
"39","03","01",4,"Marzo","Marzo"
"40","04","01",1,"Abril","Abril"
"41","05","01",0,"Mayo","Mayo"
"42","06","01",7,"Junio","Junio"
"43","07","01",4,"Julio","Julio"
"44","08","01",9,"Agosto","Agosto"
"45","09","01",5,"Septiembre","Septiembre"
"46","10","01",6,"Octubre","Octubre"
"47","11","01",3,"Noviembre","Noviembre"
"48","12","01",1,"Diciembre","Diciembre"
"49","01","02",5,"Enero ","Enero "
"50","02","02",6,"Febrero","Febrero"
"51","03","02",3,"Marzo","Marzo"
"52","04","02",1,"Abril","Abril"
"53","05","02",4,"Mayo","Mayo"
"54","06","02",2,"Junio","Junio"
"55","07","02",3,"Julio","Julio"
"56","08","02",5,"Agosto","Agosto"
"57","09","02",2,"Septiembre","Septiembre"
"58","10","02",5,"Octubre","Octubre"
"59","11","02",8,"Noviembre","Noviembre"
"60","12","02",1,"Diciembre","Diciembre"
"61","01","03",3,"Enero ","Enero "
"62","02","03",7,"Febrero","Febrero"
"63","03","03",3,"Marzo","Marzo"
"64","04","03",5,"Abril","Abril"
"65","05","03",6,"Mayo","Mayo"
"66","06","03",10,"Junio","Junio"
"67","07","03",5,"Julio","Julio"
"68","08","03",2,"Agosto","Agosto"
"69","09","03",9,"Septiembre","Septiembre"
"70","10","03",5,"Octubre","Octubre"
"71","11","03",5,"Noviembre","Noviembre"
"72","12","03",4,"Diciembre","Diciembre"
"73","01","04",5,"Enero ","Enero "
"74","02","04",6,"Febrero","Febrero"
"75","03","04",4,"Marzo","Marzo"
"76","04","04",1,"Abril","Abril"
"77","05","04",6,"Mayo","Mayo"
"78","06","04",8,"Junio","Junio"
"79","07","04",4,"Julio","Julio"
"80","08","04",4,"Agosto","Agosto"
"81","09","04",4,"Septiembre","Septiembre"
"82","10","04",7,"Octubre","Octubre"
"83","11","04",8,"Noviembre","Noviembre"
"84","12","04",6,"Diciembre","Diciembre"
"85","01","05",6,"Enero ","Enero "
"86","02","05",7,"Febrero","Febrero"
"87","03","05",5,"Marzo","Marzo"
"88","04","05",5,"Abril","Abril"
"89","05","05",13,"Mayo","Mayo"
"90","06","05",3,"Junio","Junio"
"91","07","05",3,"Julio","Julio"
"92","08","05",3,"Agosto","Agosto"
"93","09","05",2,"Septiembre","Septiembre"
"94","10","05",1,"Octubre","Octubre"
"95","11","05",5,"Noviembre","Noviembre"
"96","12","05",3,"Diciembre","Diciembre"
"97","01","06",6,"Enero ","Enero "
"98","02","06",7,"Febrero","Febrero"
"99","03","06",10,"Marzo","Marzo"
"100","04","06",5,"Abril","Abril"
"101","05","06",5,"Mayo","Mayo"
"102","06","06",4,"Junio","Junio"
"103","07","06",4,"Julio","Julio"
"104","08","06",4,"Agosto","Agosto"
"105","09","06",3,"Septiembre","Septiembre"
"106","10","06",5,"Octubre","Octubre"
"107","11","06",3,"Noviembre","Noviembre"
"108","12","06",6,"Diciembre","Diciembre"
"109","01","07",4,"Enero ","Enero "
"110","02","07",0,"Febrero","Febrero"
"111","03","07",2,"Marzo","Marzo"
"112","04","07",3,"Abril","Abril"
"113","05","07",6,"Mayo","Mayo"
"114","06","07",5,"Junio","Junio"
"115","07","07",4,"Julio","Julio"
"116","08","07",7,"Agosto","Agosto"
"117","09","07",7,"Septiembre","Septiembre"
"118","10","07",4,"Octubre","Octubre"
"119","11","07",6,"Noviembre","Noviembre"
"120","12","07",6,"Diciembre","Diciembre"
"121","01","08",4,"Enero ","Enero "
"122","02","08",1,"Febrero","Febrero"
"123","03","08",5,"Marzo","Marzo"
"124","04","08",6,"Abril","Abril"
"125","05","08",4,"Mayo","Mayo"
"126","06","08",1,"Junio","Junio"
"127","07","08",3,"Julio","Julio"
"128","08","08",4,"Agosto","Agosto"
"129","09","08",4,"Septiembre","Septiembre"
"130","10","08",1,"Octubre","Octubre"
"131","11","08",3,"Noviembre","Noviembre"
"132","12","08",6,"Diciembre","Diciembre"
"133","01","09",4,"Enero ","Enero "
"134","02","09",4,"Febrero","Febrero"
"135","03","09",2,"Marzo","Marzo"
"136","04","09",4,"Abril","Abril"
"137","05","09",9,"Mayo","Mayo"
"138","06","09",6,"Junio","Junio"
"139","07","09",4,"Julio","Julio"
"140","08","09",5,"Agosto","Agosto"
"141","09","09",5,"Septiembre","Septiembre"
"142","10","09",7,"Octubre","Octubre"
"143","11","09",6,"Noviembre","Noviembre"
"144","12","09",6,"Diciembre","Diciembre"
"145","01","10",6,"Enero ","Enero "
"146","02","10",0,"Febrero","Febrero"
"147","03","10",3,"Marzo","Marzo"
"148","04","10",4,"Abril","Abril"
"149","05","10",9,"Mayo","Mayo"
"150","06","10",4,"Junio","Junio"
"151","07","10",5,"Julio","Julio"
"152","08","10",4,"Agosto","Agosto"
"153","09","10",7,"Septiembre","Septiembre"
"154","10","10",3,"Octubre","Octubre"
"155","11","10",2,"Noviembre","Noviembre"
"156","12","10",3,"Diciembre","Diciembre"
"157","01","11",5,"Enero ","Enero "
"158","02","11",9,"Febrero","Febrero"
"159","03","11",11,"Marzo","Marzo"
"160","04","11",13,"Abril","Abril"
"161","05","11",8,"Mayo","Mayo"
"162","06","11",14,"Junio","Junio"
"163","07","11",6,"Julio","Julio"
"164","08","11",6,"Agosto","Agosto"
"165","09","11",6,"Septiembre","Septiembre"
"166","10","11",8,"Octubre","Octubre"
"167","11","11",7,"Noviembre","Noviembre"
"168","12","11",5,"Diciembre","Diciembre"
"169","01","12",7,"Enero ","Enero "
"170","02","12",6,"Febrero","Febrero"
"171","03","12",7,"Marzo","Marzo"
"172","04","12",17,"Abril","Abril"
"173","05","12",12,"Mayo","Mayo"
"174","06","12",11,"Junio","Junio"
"175","07","12",11,"Julio","Julio"
"176","08","12",6,"Agosto","Agosto"
"177","09","12",14,"Septiembre","Septiembre"
"178","10","12",7,"Octubre","Octubre"
"179","11","12",11,"Noviembre","Noviembre"
"180","12","12",7,"Diciembre","Diciembre"
"181","01","13",7,"Enero ","Enero "
"182","02","13",7,"Febrero","Febrero"
"183","03","13",9,"Marzo","Marzo"
"184","04","13",10,"Abril","Abril"
"185","05","13",13,"Mayo","Mayo"
"186","06","13",20,"Junio","Junio"
"187","07","13",8,"Julio","Julio"
"188","08","13",7,"Agosto","Agosto"
"189","09","13",8,"Septiembre","Septiembre"
"190","10","13",6,"Octubre","Octubre"
"191","11","13",11,"Noviembre","Noviembre"
"192","12","13",7,"Diciembre","Diciembre"
"193","01","14",4,"Enero ","Enero "
"194","02","14",8,"Febrero","Febrero"
"195","03","14",8,"Marzo","Marzo"
"196","04","14",15,"Abril","Abril"
"197","05","14",10,"Mayo","Mayo"
"198","06","14",12,"Junio","Junio"
"199","07","14",6,"Julio","Julio"
"200","08","14",9,"Agosto","Agosto"
"201","09","14",9,"Septiembre","Septiembre"
"202","10","14",7,"Octubre","Octubre"
"203","11","14",11,"Noviembre","Noviembre"
"204","12","14",11,"Diciembre","Diciembre"
"205","01","15",11,"Enero ","Enero "
"206","02","15",3,"Febrero","Febrero"
"207","03","15",11,"Marzo","Marzo"
"208","04","15",7,"Abril","Abril"
"209","05","15",6,"Mayo","Mayo"
"210","06","15",10,"Junio","Junio"
"211","07","15",14,"Julio","Julio"
"212","08","15",7,"Agosto","Agosto"
"213","09","15",14,"Septiembre","Septiembre"
"214","10","15",18,"Octubre","Octubre"
"215","11","15",10,"Noviembre","Noviembre"
"216","12","15",13,"Diciembre","Diciembre"
